S&P500_unscaled,S&P500_monthly,scale,S&P500
26,21.0,0.21,5.46
82,21.0,0.21,17.22
27,21.0,0.21,5.67
42,21.0,0.21,8.82
31,21.0,0.21,6.51
15,21.0,0.21,3.15
72,21.0,0.21,15.12
58,21.0,0.21,12.18
58,21.0,0.21,12.18
58,21.0,0.21,12.18
74,21.0,0.21,15.54
15,21.0,0.21,3.15
15,21.0,0.21,3.15
64,21.0,0.21,13.44
70,21.0,0.21,14.7
45,21.0,0.21,9.45
32,21.0,0.21,6.72
40,21.0,0.21,8.4
23,21.0,0.21,4.83
51,21.0,0.21,10.709999999999999
44,21.0,0.21,9.24
69,21.0,0.21,14.49
51,21.0,0.21,10.709999999999999
51,21.0,0.21,10.709999999999999
33,21.0,0.21,6.93
30,21.0,0.21,6.3
29,21.0,0.21,6.09
68,21.0,0.21,14.28
38,21.0,0.21,7.9799999999999995
100,21.0,0.21,21.0
64,21.0,0.21,13.44
56,18.0,0.18,10.08
52,18.0,0.18,9.36
82,18.0,0.18,14.76
18,18.0,0.18,3.2399999999999998
62,18.0,0.18,11.16
62,18.0,0.18,11.16
45,18.0,0.18,8.1
65,18.0,0.18,11.7
32,18.0,0.18,5.76
53,18.0,0.18,9.54
54,18.0,0.18,9.719999999999999
100,18.0,0.18,18.0
62,18.0,0.18,11.16
36,18.0,0.18,6.4799999999999995
46,18.0,0.18,8.28
53,18.0,0.18,9.54
41,18.0,0.18,7.38
35,18.0,0.18,6.3
52,18.0,0.18,9.36
61,18.0,0.18,10.98
62,18.0,0.18,11.16
64,18.0,0.18,11.52
41,18.0,0.18,7.38
41,18.0,0.18,7.38
34,18.0,0.18,6.12
87,18.0,0.18,15.66
69,18.0,0.18,12.42
53,18.0,0.18,9.54
32,18.0,0.18,5.76
46,18.0,0.18,8.28
37,18.0,0.18,6.66
77,18.0,0.18,13.86
100,18.0,0.18,18.0
61,18.0,0.18,10.98
86,18.0,0.18,15.479999999999999
56,18.0,0.18,10.08
18,18.0,0.18,3.2399999999999998
54,18.0,0.18,9.719999999999999
68,18.0,0.18,12.24
82,18.0,0.18,14.76
52,18.0,0.18,9.36
92,18.0,0.18,16.56
71,18.0,0.18,12.78
54,18.0,0.18,9.719999999999999
27,18.0,0.18,4.859999999999999
53,18.0,0.18,9.54
68,18.0,0.18,12.24
46,18.0,0.18,8.28
54,18.0,0.18,9.719999999999999
56,18.0,0.18,10.08
63,18.0,0.18,11.34
36,18.0,0.18,6.4799999999999995
46,18.0,0.18,8.28
99,18.0,0.18,17.82
39,18.0,0.18,7.02
57,18.0,0.18,10.26
71,18.0,0.18,12.78
38,18.0,0.18,6.84
19,18.0,0.18,3.42
23,19.0,0.19,4.37
22,19.0,0.19,4.18
65,19.0,0.19,12.35
39,19.0,0.19,7.41
39,19.0,0.19,7.41
26,19.0,0.19,4.94
38,19.0,0.19,7.22
43,19.0,0.19,8.17
32,19.0,0.19,6.08
38,19.0,0.19,7.22
55,19.0,0.19,10.45
57,19.0,0.19,10.83
20,19.0,0.19,3.8
39,19.0,0.19,7.41
33,19.0,0.19,6.2700000000000005
43,19.0,0.19,8.17
72,19.0,0.19,13.68
44,19.0,0.19,8.36
23,19.0,0.19,4.37
26,19.0,0.19,4.94
13,19.0,0.19,2.47
33,19.0,0.19,6.2700000000000005
27,19.0,0.19,5.13
49,19.0,0.19,9.31
28,19.0,0.19,5.32
29,19.0,0.19,5.51
33,19.0,0.19,6.2700000000000005
26,19.0,0.19,4.94
49,19.0,0.19,9.31
100,19.0,0.19,19.0
25,20.0,0.2,5.0
12,20.0,0.2,2.4000000000000004
60,20.0,0.2,12.0
56,20.0,0.2,11.200000000000001
0,20.0,0.2,0.0
35,20.0,0.2,7.0
23,20.0,0.2,4.6000000000000005
46,20.0,0.2,9.200000000000001
35,20.0,0.2,7.0
36,20.0,0.2,7.2
27,20.0,0.2,5.4
41,20.0,0.2,8.200000000000001
90,20.0,0.2,18.0
45,20.0,0.2,9.0
33,20.0,0.2,6.6000000000000005
45,20.0,0.2,9.0
59,20.0,0.2,11.8
14,20.0,0.2,2.8000000000000003
68,20.0,0.2,13.600000000000001
80,20.0,0.2,16.0
33,20.0,0.2,6.6000000000000005
100,20.0,0.2,20.0
45,20.0,0.2,9.0
24,20.0,0.2,4.800000000000001
14,20.0,0.2,2.8000000000000003
0,20.0,0.2,0.0
23,20.0,0.2,4.6000000000000005
78,20.0,0.2,15.600000000000001
56,20.0,0.2,11.200000000000001
57,20.0,0.2,11.4
35,20.0,0.2,7.0
51,19.0,0.19,9.69
43,19.0,0.19,8.17
56,19.0,0.19,10.64
49,19.0,0.19,9.31
43,19.0,0.19,8.17
22,19.0,0.19,4.18
67,19.0,0.19,12.73
26,19.0,0.19,4.94
17,19.0,0.19,3.23
91,19.0,0.19,17.29
56,19.0,0.19,10.64
43,19.0,0.19,8.17
71,19.0,0.19,13.49
61,19.0,0.19,11.59
35,19.0,0.19,6.65
26,19.0,0.19,4.94
57,19.0,0.19,10.83
50,19.0,0.19,9.5
43,19.0,0.19,8.17
73,19.0,0.19,13.870000000000001
61,19.0,0.19,11.59
0,19.0,0.19,0.0
43,19.0,0.19,8.17
100,19.0,0.19,19.0
50,19.0,0.19,9.5
43,19.0,0.19,8.17
36,19.0,0.19,6.84
68,19.0,0.19,12.92
53,19.0,0.19,10.07
35,19.0,0.19,6.65
14,19.0,0.19,2.66
43,19.0,0.19,8.17
43,19.0,0.19,8.17
0,19.0,0.19,0.0
31,19.0,0.19,5.89
0,19.0,0.19,0.0
0,19.0,0.19,0.0
15,19.0,0.19,2.85
72,19.0,0.19,13.68
44,19.0,0.19,8.36
59,19.0,0.19,11.21
46,19.0,0.19,8.74
36,19.0,0.19,6.84
0,19.0,0.19,0.0
58,19.0,0.19,11.02
73,19.0,0.19,13.870000000000001
44,19.0,0.19,8.36
59,19.0,0.19,11.21
76,19.0,0.19,14.44
18,19.0,0.19,3.42
72,19.0,0.19,13.68
29,19.0,0.19,5.51
100,19.0,0.19,19.0
29,19.0,0.19,5.51
74,19.0,0.19,14.06
46,19.0,0.19,8.74
18,19.0,0.19,3.42
0,19.0,0.19,0.0
14,19.0,0.19,2.66
57,19.0,0.19,10.83
43,19.0,0.19,8.17
51,17.0,0.17,8.67
38,17.0,0.17,6.460000000000001
36,17.0,0.17,6.12
53,17.0,0.17,9.01
72,17.0,0.17,12.24
72,17.0,0.17,12.24
36,17.0,0.17,6.12
22,17.0,0.17,3.74
68,17.0,0.17,11.56
0,17.0,0.17,0.0
17,17.0,0.17,2.89
50,17.0,0.17,8.5
71,17.0,0.17,12.07
44,17.0,0.17,7.48
46,17.0,0.17,7.82
23,17.0,0.17,3.91
35,17.0,0.17,5.95
26,17.0,0.17,4.42
100,17.0,0.17,17.0
57,17.0,0.17,9.690000000000001
57,17.0,0.17,9.690000000000001
72,17.0,0.17,12.24
60,17.0,0.17,10.200000000000001
17,17.0,0.17,2.89
34,17.0,0.17,5.78
21,17.0,0.17,3.5700000000000003
41,17.0,0.17,6.970000000000001
