round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
50,0.018504485013685103,0.018504484,0.08869145842997925,0.08869146,50,0.2,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.011955132254320317,0.011955133,0.06010616369406629,0.060106166,100,0,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.3960820010887301,0.39608198,8.107173955218393,8.107174,100,0.2,30,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,61.01911502064814,61.019146,1.9291267184922414,1.9291269,20,0.2,100,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.022486643272888508,0.022486636,0.14385277777910233,0.14385279,10,0.2,30,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.34262764970754783,0.34262767,4.525709629058838,4.5257096,300,0,30,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.02402883300186578,0.024028832,0.03138959551843242,0.03138959,10,0,30,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.39654512181053303,0.39654508,7.489360332489014,7.4893603,300,0,100,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.03593061663677772,0.035930615,0.7584548215873493,0.75845486,20,0,100,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.02048811177650941,0.020488111,0.0748223238942786,0.07482232,20,0,10,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,1.674704717094168,1.6747047,13.037314385360812,13.037314,100,0.2,10,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.22177216817532078,0.22177216,0.47570249118975233,0.47570252,100,0.2,10,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.37330211453634654,0.37330213,0.37792421292559886,0.37792423,50,0,10,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.007969732724501308,0.007969731,0.014189505564939716,0.014189505,20,0.2,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,5.259591367411877,5.259591,4.187223055347893,4.1872234,100,0.2,10,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.11001394341985019,0.11001397,3.5038550578242873,3.503855,10,0.2,10,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.0048602465832282915,0.0048602466,0.056748609989881516,0.05674861,300,0,10,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0005601491593082205,0.0005601492,0.002789019745838198,0.00278902,20,0,50,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,2.6829387132642015,2.6829388,354.4012287092505,354.4012,10,0,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.020391305173125214,0.020391306,0.027766120116810622,0.027766122,100,0.2,50,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.007964330367963911,0.007964331,0.15489910542964935,0.1548991,300,0.2,30,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.004961209717065756,0.00496121,0.008567243950406773,0.008567244,50,0.2,100,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,11.757455340170772,11.757455,3.512037515640259,3.5120375,300,0.2,10,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.004988620856714974,0.0049886205,0.003973269165184071,0.003973269,20,0,10,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.017847315813809963,0.017847316,0.16706740856170654,0.16706741,300,0,50,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.16988018226579546,0.16988018,1.9957006962403008,1.9957006,100,0.2,10,20,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0010660378231471094,0.0010660379,0.007472885511916778,0.0074728853,20,0,100,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
