,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,10,0.005301248537940847,0.005301250610500574,0.02434725747512215,0.024347255006432533,10,0.2,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
1,10,0.062359549443830146,0.06235954537987709,0.6343499422073364,0.6343499422073364,300,0.2,10,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
2,50,0.0001909110606019863,0.00019091105787083507,0.0008526219137232093,0.0008526219171471894,100,0.0,50,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
3,100,0.0005525199665397452,0.0005525199812836945,0.0025594395119696856,0.0025594395119696856,50,0.0,100,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
4,100,0.0010403776639076278,0.0010403776541352272,0.029810958322794998,0.029810961335897446,50,0.2,100,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
5,30,0.025974306357134123,0.02597430720925331,0.1940867304801941,0.1940867304801941,300,0.2,30,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
6,30,0.06564599780032625,0.06564599275588989,0.4898503080886953,0.48985031247138977,10,0.0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
7,50,0.0563301374026932,0.05633013695478439,1.0830140113830566,1.0830140113830566,300,0.0,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
8,30,0.00017677442037706642,0.00017677442519925535,0.0007861246738363715,0.0007861246122047305,100,0.2,30,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,100,0.07558703191490991,0.07558702677488327,1.6411762518041275,1.6411761045455933,10,0.0,100,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,50,0.002496235370649642,0.0024962350726127625,0.16173483431339264,0.16173483431339264,300,0.2,50,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
11,50,0.0010258865919438001,0.0010258866241201758,3.7021700394894546,3.702169895172119,20,0.0,50,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
12,50,0.028524526375785602,0.028524527326226234,0.30542469024658203,0.30542469024658203,300,0.0,50,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
13,50,0.0576570449435204,0.057657044380903244,0.3522135764360428,0.352213591337204,50,0.2,50,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
14,10,0.0010628251950459656,0.0010628249729052186,0.0009244762768503278,0.0009244763059541583,10,0.0,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
15,30,0.0014308227104601885,0.0014308226527646184,0.004834833554923534,0.004834833554923534,300,0.2,30,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
16,100,0.0002065864779747124,0.0002065864682663232,0.0007603698896298952,0.000760369875933975,100,0.0,100,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
17,10,0.0006115333838770685,0.000611533410847187,0.0010562481064185063,0.001056248089298606,20,0.2,10,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
18,50,0.07513696511885112,0.0751369521021843,0.8591987771146438,0.859198808670044,10,0.2,50,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
19,30,0.000320645353396333,0.00032064534025266767,0.002009918447583914,0.002009918447583914,300,0.0,30,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
20,10,0.06859080252016395,0.06859080493450165,0.4124349355697632,0.4124349355697632,300,0.0,10,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
21,50,0.07573570192400966,0.07573571056127548,0.5911728012211183,0.5911728739738464,10,0.2,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
22,30,0.06666666437882679,0.06666667759418488,0.2350491679766599,0.23504917323589325,10,0.0,30,50,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
23,10,0.021459248575144325,0.021459249779582024,0.174580843461787,0.17458084225654602,50,0.0,10,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
24,30,0.0022809149594386034,0.002280914457514882,2.249196772901889,2.249196767807007,10,0.0,30,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
25,10,0.01896312968980226,0.018963128328323364,0.023949766531586647,0.023949766531586647,300,0.2,10,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
26,50,0.0016156736219859486,0.0016156737692654133,0.002327032116762198,0.0023270323872566223,10,0.0,50,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
27,100,0.06365823510302301,0.06365825235843658,0.6827168177594157,0.6827168464660645,10,0.0,100,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
28,50,0.07913525505851725,0.07913525402545929,0.1847708764321664,0.184770867228508,10,0.0,50,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
29,100,0.026831643350007248,0.026831643655896187,3.130120912018944,3.1301207542419434,100,0.2,100,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,100,0.0004285938098625201,0.0004285938339307904,0.0007993727809020236,0.0007993726758286357,10,0.2,100,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
31,10,0.24636349597634458,0.24636349081993103,0.7401436567306519,0.7401436567306519,300,0.2,10,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
32,100,0.07070976884112505,0.07070978730916977,180.27720295572107,180.2772216796875,10,0.2,100,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
33,100,0.028414955537471254,0.028414959087967873,0.26613417793722716,0.2661341726779938,100,0.2,100,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
34,50,0.009414882256097741,0.009414882399141788,0.014862140366698013,0.014862138777971268,20,0.0,50,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
35,30,0.03985707928860817,0.039857082068920135,0.17010574218104868,0.1701057404279709,50,0.0,30,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
36,30,0.06825198788916872,0.06825198978185654,0.32135463243021684,0.32135459780693054,10,0.0,30,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
37,100,0.06440136985869702,0.06440137326717377,0.25670480114572186,0.25670480728149414,20,0.2,100,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
38,100,0.059724574903151854,0.05972457677125931,1.0250990767689312,1.0250990390777588,50,0.0,100,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
39,100,0.01232801919633692,0.012328017503023148,0.02568599515978028,0.0256859939545393,100,0.0,100,50,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
40,50,0.0003125372531406801,0.00031253727502189577,0.01405500149463906,0.014055002480745316,20,0.0,50,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
41,50,0.029382975843033135,0.0293829794973135,3.666806192959056,3.666806221008301,100,0.2,50,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
42,30,0.03379654837635693,0.03379654511809349,0.2378391956581789,0.23783919215202332,20,0.0,30,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
43,10,0.015473607907077172,0.015473606064915657,0.029483175863895345,0.029483173042535782,50,0.2,10,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
44,30,0.0026931010792305,0.0026931012980639935,0.12016997982830029,0.1201699748635292,50,0.0,30,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
45,50,0.00018142602948234294,0.00018142603221349418,0.0019223997780286213,0.0019223998533561826,100,0.2,50,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
46,30,0.06198993280988809,0.061989925801754,0.9889271417084862,0.9889271259307861,20,0.0,30,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
47,100,0.0820864595532898,0.0820864588022232,0.19804610947475715,0.19804608821868896,10,0.0,100,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
48,30,0.0004652698512006103,0.0004652698407880962,0.0012790574657949893,0.0012790574692189693,100,0.0,30,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
49,10,0.0017160133269541731,0.0017160131828859448,0.5248959204729866,0.5248959064483643,100,0.0,10,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,30,0.00024060611231587118,0.0002406061248620972,0.003370571224128499,0.003370571183040738,100,0.0,30,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
51,10,0.06160417562241385,0.061604149639606476,0.2717789683271857,0.27177897095680237,10,0.2,10,20,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
52,30,0.05671368933711583,0.05671368166804314,1.9181228385252111,1.9181227684020996,100,0.2,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
53,100,0.07644893976523817,0.076448954641819,0.9923129888141856,0.9923129677772522,10,0.2,100,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
54,10,0.028543107790593877,0.028543109074234962,0.06196043158278746,0.061960428953170776,50,0.0,10,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
55,50,0.00016066312355578595,0.0001606631267350167,0.0005632668035104871,0.0005632668035104871,300,0.0,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
56,50,0.05623946987813519,0.05623946711421013,415.8779296875,415.8779296875,300,0.2,50,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
57,50,0.0002753765707531032,0.00027537657297216356,0.0014835981419309974,0.0014835981419309974,300,0.2,50,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
