round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
30,0.01374510267752172,0.013745101,0.18743410563414417,0.18743412,50,0,30,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.4398222270590392,0.43982223,11.977400779724121,11.977401,300,0,100,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.2124883274003227,0.21248832,1.9350290298461914,1.935029,300,0.2,50,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.14129283561183356,0.14129284,0.8931137919425964,0.8931138,300,0,10,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0016467260782824986,0.001646726,0.012764590044176525,0.012764591,20,0,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.051472616333936905,0.051472615,0.04074976220726967,0.040749762,100,0.2,50,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0031159605285007402,0.0031159606,0.0703781926323001,0.07037819,100,0,30,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0004667908734050806,0.00046679084,0.0016107498511967317,0.0016107499,20,0,30,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,16.94041509138467,16.940416,90.47927819228754,90.47928,100,0,10,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.00150949208032263,0.001509492,0.07028467372832138,0.07028467,50,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.058944310411393905,0.058944315,14.977868137017984,14.977868,10,0.2,100,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.2293971940128898,0.2293972,3.3391380758910643,3.3391385,20,0.2,10,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.006982948752435607,0.0069829486,0.010232536735512861,0.010232536,100,0.2,100,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.840213208381136,0.8402132,18.808902740478516,18.808903,300,0,50,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,16.133100355321073,16.1331,120.93561553955078,120.935616,300,0.2,30,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.014690582680074287,0.014690582,0.12166335870066045,0.12166337,10,0,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.001808351234769324,0.0018083513,0.01721588540296979,0.017215885,10,0.2,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.012439600329857116,0.0124396,0.30273791151575563,0.30273792,20,0.2,30,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.002836092135015826,0.0028360921,1.1287366972622894,1.1287367,50,0.2,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,1.3193904419535214,1.3193904,11.271592140197754,11.271592,300,0,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.01116724535329089,0.011167245,3.2864376132081197,3.2864375,100,0,100,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.0005839216602254324,0.00058392173,0.007159041002301908,0.0071590412,20,0,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0019673234020155445,0.0019673237,0.052691198158554914,0.0526912,100,0,50,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.18409059930795774,0.18409058,0.24168830237737515,0.24168828,100,0,30,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.011719376184128565,0.011719376,0.04269106774988425,0.042691067,20,0,100,20,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.048964444811240564,0.048964445,1.74420514711883,1.744205,20,0.2,100,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0006139537124183123,0.0006139536,0.011817981968860983,0.011817983,10,0,50,20,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.10632281934236217,0.10632278,22.764911527222978,22.76491,10,0,10,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,1.266620595474482,1.2666204,3.4223692358993905,3.4223692,100,0,10,50,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00017499703366697912,0.00017499703,0.001265238174066947,0.0012652382,50,0,100,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.08809879056791142,0.08809879,0.2511017068130214,0.2511017,100,0.2,10,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.005979966048551765,0.0059799654,5.237247943878174,5.237248,300,0,100,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.006474692515057782,0.0064746924,0.11512537459592993,0.11512538,50,0.2,30,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0003237566358697174,0.0003237566,0.0013887091577422192,0.0013887091,50,0,100,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,2.017613908503649,2.017614,0.953521192073822,0.9535212,300,0,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.2374556385726834,0.23745565,29.58537748542319,29.585379,10,0.2,100,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.057462811700462066,0.05746281,0.8095132883002119,0.8095133,100,0,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,8.309701619337865,8.309702,215.9171142578125,215.91711,300,0,10,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.34755248858405496,0.34755248,122.71968078613281,122.71968,300,0.2,50,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.025723430764585713,0.025723437,0.26888850022379945,0.2688885,20,0,100,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.030901504366415852,0.030901514,0.03529521382254798,0.035295215,10,0.2,10,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.00948896184453908,0.009488962,0.19327484239347098,0.19327484,50,0,30,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.04114551014858071,0.041145515,0.019571294508329253,0.019571295,50,0,50,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.03951623805953582,0.039516237,0.453286300345165,0.4532863,100,0,10,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.002443732535027637,0.0024437322,0.014214003029870005,0.014214004,20,0.2,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,5.958384908527267,5.958385,9.565921783447266,9.565922,300,0,10,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.008771893429804445,0.008771894,0.5405957698822021,0.54059577,300,0.2,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.014352086653030411,0.014352086,0.2535069323167568,0.25350693,100,0,50,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.007228653418313059,0.007228654,0.059747943959891706,0.059747946,50,0.2,30,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.015770950801094474,0.01577095,0.1997630796508818,0.19976309,100,0,50,50,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.00025037194211111405,0.00025037193,0.0018177598589894975,0.0018177597,50,0,50,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.006631755627368046,0.0066317557,0.9270526766777039,0.9270527,300,0.2,100,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.028758306023342443,0.028758308,0.13072282675562835,0.13072284,20,0.2,30,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,5251.390180896534,5251.3906,17193.492060405453,17193.492,10,0.2,50,50,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.0058066507243168634,0.00580665,2.1635146948065973,2.1635146,50,0.2,30,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.026135142777383942,0.026135143,1.1435799598693848,1.14358,300,0,50,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0045518399009121715,0.0045518395,0.17099768159593023,0.1709977,50,0,50,50,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.04984516049673526,0.04984516,0.8207226875351696,0.82072264,100,0,30,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.07069887968112162,0.07069888,0.38316427025853134,0.38316426,100,0,30,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.012916998750501379,0.012916996,0.18488028671070025,0.18488029,20,0,30,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.020159750921714816,0.020159755,0.14777396364909848,0.14777397,20,0.2,50,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,1.610794950260154,1.6107953,305.78139130480406,305.78137,10,0.2,100,128,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0570121096482772,0.057012107,1617.0892468142074,1617.089,20,0.2,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.023229419002762073,0.023229418,8.65073975836631,8.65074,50,0.2,50,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.0513333464301958,0.05133335,0.15042896805013098,0.15042895,20,0,10,50,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.007289598152519441,0.0072895978,0.000996572712277312,0.0009965728,100,0.2,30,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.0015587756921679869,0.0015587758,0.15703207706441966,0.15703207,20,0,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.0006902125920674836,0.0006902126,0.005237688813017818,0.0052376892,20,0.2,50,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.00506607312242746,0.005066073,0.2815728790876342,0.28157288,100,0,30,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.044316955267373524,0.044316955,3.1360504038450197,3.1360502,100,0.2,10,20,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.00513443927553555,0.0051344405,0.09096893026612744,0.09096893,20,0.2,50,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.004627064035023084,0.0046270643,0.028490366096176754,0.028490366,100,0.2,100,20,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,24.806997323071307,24.806997,67.72864518514494,67.728645,100,0,50,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.0084475519414031,0.008447551,0.07564717369926412,0.07564717,20,0.2,50,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0003785230768007804,0.00037852308,0.010172150208523906,0.01017215,100,0,50,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.01139248629335166,0.011392487,0.792092964552888,0.792093,50,0.2,30,20,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.003404289254022348,0.0034042883,0.009545536348369063,0.009545537,10,0,50,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,0.008141592773505993,0.00814159,0.04095490513619308,0.040954903,10,0,10,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.007809782312258486,0.0078097824,0.04074509787123378,0.040745102,20,0.2,50,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.00030379927208282285,0.0003037993,0.0018005056715593105,0.0018005057,50,0,10,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,1.9170340999565876,1.917034,2.4633679288189585,2.463368,100,0,50,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.0005030530260221564,0.000503053,0.0053989216685295105,0.0053989217,300,0.2,100,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.004558688325228633,0.004558688,0.008127433247864246,0.008127433,300,0.2,100,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.27394228514190627,0.27394226,19.738693760662542,19.738693,100,0.2,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.011439580510100225,0.0114395805,0.053571583351074925,0.053571578,10,0,10,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.0005340027253487077,0.00053400284,0.02024406927251598,0.02024407,20,0,50,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.00414278884610334,0.004142789,0.05083359777927399,0.050833598,300,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.6428810758968824,0.6428813,2.6220528832068895,2.622053,10,0.2,10,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.01964023450886027,0.019640235,3.0004959106445312,3.000496,300,0.2,100,50,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,75.93770795437302,75.937706,12.910280227661133,12.91028,300,0,30,128,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.013663469887830987,0.013663469,0.322548872308533,0.32254884,50,0.2,30,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.0642068285785824,0.06420683,0.029077467849341836,0.029077468,100,0.2,10,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.01922867603432689,0.019228676,0.05137238976341195,0.05137239,10,0,10,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.03660286437865451,0.036602866,7.833973839742745,7.8339734,10,0,50,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.03464586206537634,0.034645863,1.7422515153884888,1.7422515,300,0.2,30,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.09414898367277696,0.09414898,67.38925376543548,67.38925,10,0.2,100,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.009732986606975719,0.009732986,0.7194070975954939,0.7194071,20,0,100,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.005590140943680184,0.0055901413,0.10404819127444814,0.104048185,50,0,50,20,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.0003140698696177354,0.00031406985,0.001010353805812462,0.0010103538,50,0.2,30,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.06507012950303101,0.06507013,8.798068046569824,8.798068,300,0.2,100,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
30,0.2901300922782326,0.29013002,9.325098915797907,9.325099,50,0.2,30,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,0.001561000152322668,0.0015610004,0.015577306970953941,0.015577309,10,0.2,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
100,0.00498764176505984,0.0049876417,1.2353609232118399,1.235361,20,0.2,100,50,mse,0.5500045,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00041265305354474564,0.000412653,0.006690281786155183,0.006690282,50,0,100,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
