,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,30,0.01374510267752172,0.013745101168751717,0.18743410563414417,0.187434121966362,50,0.0,30,128,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
1,100,0.4398222270590392,0.4398222267627716,11.977400779724121,11.977400779724121,300,0.0,100,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
2,50,0.2124883274003227,0.2124883234500885,1.9350290298461914,1.9350290298461914,300,0.2,50,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
3,10,0.14129283561183356,0.14129284024238586,0.8931137919425964,0.8931137919425964,300,0.0,10,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
4,100,0.0016467260782824986,0.0016467260429635644,0.012764590044176525,0.012764590792357922,20,0.0,100,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
5,50,0.051472616333936905,0.05147261545062065,0.04074976220726967,0.04074976220726967,100,0.2,50,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
6,30,0.0031159605285007402,0.003115960629656911,0.0703781926323001,0.07037819176912308,100,0.0,30,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
7,30,0.0004667908734050806,0.00046679083607159555,0.0016107498511967317,0.0016107498668134212,20,0.0,30,20,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
8,10,16.94041509138467,16.94041633605957,90.47927819228754,90.47927856445312,100,0.0,10,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,50,0.00150949208032263,0.001509492052718997,0.07028467372832138,0.07028467208147049,50,0.2,50,50,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,100,0.058944310411393905,0.05894431471824646,14.977868137017984,14.97786808013916,10,0.2,100,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
11,10,0.2293971940128898,0.22939719259738922,3.3391380758910643,3.3391385078430176,20,0.2,10,128,mse,0.8500015,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
12,100,0.006982948752435607,0.0069829486310482025,0.010232536735512861,0.010232536122202873,100,0.2,100,50,mse,0.4500055,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
13,50,0.840213208381136,0.8402131795883179,18.808902740478516,18.808902740478516,300,0.0,50,128,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
14,30,16.133100355321073,16.133100509643555,120.93561553955078,120.93561553955078,300,0.2,30,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
15,50,0.014690582680074287,0.0146905817091465,0.12166335870066045,0.12166336923837662,10,0.0,50,50,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
16,10,0.001808351234769324,0.0018083512550219893,0.01721588540296979,0.01721588522195816,10,0.2,10,50,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
17,30,0.012439600329857116,0.012439600192010403,0.30273791151575563,0.30273792147636414,20,0.2,30,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
18,100,0.002836092135015826,0.0028360921423882246,1.1287366972622894,1.1287367343902588,50,0.2,100,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
19,30,1.3193904419535214,1.3193904161453247,11.271592140197754,11.271592140197754,300,0.0,30,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
20,100,0.01116724535329089,0.011167244985699654,3.2864376132081197,3.286437511444092,100,0.0,100,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
21,100,0.0005839216602254324,0.0005839217337779701,0.007159041002301908,0.007159041240811348,20,0.0,100,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
22,50,0.0019673234020155445,0.001967323711141944,0.052691198158554914,0.052691198885440826,100,0.0,50,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
