round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
100,0.0860653911129575,0.0860654,1.067544705934406,1.0675446,50,0.2,100,128,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
10,11.4498098521215,11.449809,189.62973434732567,189.62975,100,0.2,10,128,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
50,0.008729774436167684,0.008729775,0.01728079442830716,0.017280795,10,0,50,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.003423166411458016,0.0034231667,0.017132542966662542,0.017132543,20,0,30,128,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,0.03325577568249069,0.03325578,0.20709062631456007,0.20709063,50,0,10,20,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,27.982308127343433,27.982307,224.6556396484375,224.65564,300,0,30,128,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.009500445842715427,0.009500446,0.0046100192703306675,0.0046100193,300,0,100,20,mse,0.35000650000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
100,0.00719987939892,0.0071998807,0.017653436718149954,0.017653437,20,0.2,100,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
100,0.00515461674929215,0.0051546167,0.07533948831491588,0.07533949,100,0.2,100,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.001569790517777287,0.0015697905,0.013151004933607505,0.013151005,100,0,50,128,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,7.716072547039863,7.7160716,148.63515600358477,148.63515,100,0.2,10,128,mse,0.6500035,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.02402608474799023,0.024026081,17.85957770827024,17.85958,10,0,50,128,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.00010534923125124568,0.000105349216,0.0024363833583706286,0.0024363834,100,0,50,128,mse,0.050009500000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
10,34.96411419266704,34.964115,93.49054718017578,93.49055,300,0,10,50,mse,0.7500025,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.2285082044416688,0.22850822,0.39697492122650146,0.39697492,300,0.2,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
