,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,100,0.4959967696438482,0.49599677324295044,2.044257164001465,2.044257164001465,300,0.0,100,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
1,100,0.006224478684113373,0.006224478594958782,0.01369618106542564,0.013696182519197464,20,0.0,100,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
2,50,0.0017122285439192546,0.001712228637188673,0.015557825156464809,0.015557825565338135,100,0.2,50,20,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
3,100,0.07138464775413758,0.07138462364673615,8.96939103323512,8.969390869140625,10,0.2,100,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
4,50,0.0007720260094955497,0.0007720259600318968,0.005162613932043314,0.005162613932043314,300,0.2,50,20,mse,0.2500075,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
5,10,0.06324344006982881,0.06324343383312225,0.029150535238952172,0.02915053628385067,100,0.2,10,20,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
6,30,0.000800886470978786,0.0008008864824660122,0.004245922968881886,0.004245922900736332,100,0.0,30,50,mse,0.15000850000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
7,30,0.0006622222051763735,0.0006622221553698182,0.003619230517027218,0.003619230818003416,20,0.0,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
8,10,0.04958002244030429,0.049580030143260956,0.007042722998005225,0.007042722776532173,10,0.0,10,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,10,0.056555342647920476,0.05655535310506821,6.859325537242268,6.859324932098389,20,0.0,10,50,mse,0.9500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
