,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,10,4793.43682924251,4793.43701171875,86171.65625,86171.65625,300,0.0,10,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,10,11.338707835403914,11.33870792388916,15.258766174316406,15.258766174316406,300,0.0,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
2,10,1.4648153755263364,1.464815378189087,10.194130079120608,10.194129943847656,50,0.0,10,50,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
3,50,0.08007373674884695,0.08007373660802841,1.7845914811952739,1.7845914363861084,50,0.2,50,128,mse,0.500005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
4,50,0.44704131735968833,0.4470413029193878,2.3163275718688965,2.3163275718688965,300,0.2,50,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
5,30,163.8459984344715,163.8459930419922,74.47580930019947,74.47581481933594,50,0.0,30,128,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
6,30,0.36567460261669354,0.36567458510398865,1.4726927280426025,1.4726927280426025,300,0.0,30,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
7,30,4.173559547699604,4.173559665679932,61.25454330444336,61.25454330444336,300,0.0,30,20,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
8,10,127037.65659230026,127037.6640625,94670.875,94670.875,300,0.2,10,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
9,50,0.0014743556746976175,0.0014743558131158352,0.14490867305731941,0.14490868151187897,100,0.0,50,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,50,4.307481297000577,4.30748176574707,5.10623178245328,5.106231689453125,50,0.2,50,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
11,10,48.98108092370312,48.981082916259766,239.03522767411903,239.03521728515625,50,0.2,10,128,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
12,10,3.713458874790939,3.713459014892578,12.243614511286959,12.243614196777344,100,0.0,10,20,mse,0.700003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
13,10,0.14648336428777664,0.1464833766222,10.524371424465315,10.524372100830078,50,0.2,10,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
14,50,0.09829759058827386,0.0982975885272026,7.509997449022658,7.509997844696045,50,0.2,50,20,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
15,50,0.0012964493310226198,0.0012964492198079824,0.006190973381901569,0.006190973334014416,100,0.2,50,50,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
