S&P500_unscaled,S&P500_monthly,scale,S&P500
28,22.0,0.22,6.16
53,22.0,0.22,11.66
38,22.0,0.22,8.36
37,22.0,0.22,8.14
33,22.0,0.22,7.26
38,22.0,0.22,8.36
60,22.0,0.22,13.2
100,22.0,0.22,22.0
36,22.0,0.22,7.92
36,22.0,0.22,7.92
75,22.0,0.22,16.5
32,22.0,0.22,7.04
26,22.0,0.22,5.72
31,22.0,0.22,6.82
53,22.0,0.22,11.66
54,22.0,0.22,11.88
47,22.0,0.22,10.34
37,22.0,0.22,8.14
58,22.0,0.22,12.76
47,22.0,0.22,10.34
44,22.0,0.22,9.68
48,22.0,0.22,10.56
40,22.0,0.22,8.8
45,22.0,0.22,9.9
60,22.0,0.22,13.2
21,22.0,0.22,4.62
31,22.0,0.22,6.82
61,22.0,0.22,13.42
57,22.0,0.22,12.540000000000001
88,22.0,0.22,19.36
53,22.0,0.22,11.66
79,19.0,0.19,15.01
32,19.0,0.19,6.08
37,19.0,0.19,7.03
43,19.0,0.19,8.17
48,19.0,0.19,9.120000000000001
86,19.0,0.19,16.34
71,19.0,0.19,13.49
45,19.0,0.19,8.55
52,19.0,0.19,9.88
20,19.0,0.19,3.8
60,19.0,0.19,11.4
100,19.0,0.19,19.0
54,19.0,0.19,10.26
39,19.0,0.19,7.41
45,19.0,0.19,8.55
57,19.0,0.19,10.83
38,19.0,0.19,7.22
21,19.0,0.19,3.99
64,19.0,0.19,12.16
74,19.0,0.19,14.06
85,19.0,0.19,16.15
61,19.0,0.19,11.59
37,19.0,0.19,7.03
44,19.0,0.19,8.36
46,19.0,0.19,8.74
73,19.0,0.19,13.870000000000001
69,19.0,0.19,13.11
65,19.0,0.19,12.35
66,20.0,0.2,13.200000000000001
46,20.0,0.2,9.200000000000001
25,20.0,0.2,5.0
59,20.0,0.2,11.8
100,20.0,0.2,20.0
71,20.0,0.2,14.200000000000001
64,20.0,0.2,12.8
61,20.0,0.2,12.200000000000001
35,20.0,0.2,7.0
29,20.0,0.2,5.800000000000001
33,20.0,0.2,6.6000000000000005
69,20.0,0.2,13.8
32,20.0,0.2,6.4
25,20.0,0.2,5.0
52,20.0,0.2,10.4
24,20.0,0.2,4.800000000000001
24,20.0,0.2,4.800000000000001
54,20.0,0.2,10.8
45,20.0,0.2,9.0
58,20.0,0.2,11.600000000000001
50,20.0,0.2,10.0
51,20.0,0.2,10.200000000000001
51,20.0,0.2,10.200000000000001
29,20.0,0.2,5.800000000000001
54,20.0,0.2,10.8
63,20.0,0.2,12.600000000000001
43,20.0,0.2,8.6
52,20.0,0.2,10.4
24,20.0,0.2,4.800000000000001
47,20.0,0.2,9.4
16,20.0,0.2,3.2
41,19.0,0.19,7.79
100,19.0,0.19,19.0
70,19.0,0.19,13.3
79,19.0,0.19,15.01
49,19.0,0.19,9.31
31,19.0,0.19,5.89
37,19.0,0.19,7.03
42,19.0,0.19,7.98
23,19.0,0.19,4.37
86,19.0,0.19,16.34
64,19.0,0.19,12.16
66,19.0,0.19,12.540000000000001
29,19.0,0.19,5.51
32,19.0,0.19,6.08
68,19.0,0.19,12.92
73,19.0,0.19,13.870000000000001
63,19.0,0.19,11.97
64,19.0,0.19,12.16
44,19.0,0.19,8.36
32,19.0,0.19,6.08
37,19.0,0.19,7.03
55,19.0,0.19,10.45
68,19.0,0.19,12.92
63,19.0,0.19,11.97
38,19.0,0.19,7.22
56,19.0,0.19,10.64
38,19.0,0.19,7.22
19,19.0,0.19,3.61
79,19.0,0.19,15.01
64,19.0,0.19,12.16
63,21.0,0.21,13.229999999999999
