buy S&P500_unscaled,buy S&P500_monthly,scale,buy S&P500
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
100,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
77,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
79,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
100,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
100,65.0,0.65,65.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
94,65.0,0.65,61.1
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
99,65.0,0.65,64.35000000000001
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,65.0,0.65,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
93,67.0,0.67,62.31
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
100,67.0,0.67,67.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,67.0,0.67,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
80,33.0,0.33,26.400000000000002
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
100,33.0,0.33,33.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,33.0,0.33,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
100,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
98,30.0,0.3,29.4
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
100,30.0,0.3,30.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,30.0,0.3,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
100,58.0,0.58,57.99999999999999
0,58.0,0.58,0.0
86,58.0,0.58,49.879999999999995
86,58.0,0.58,49.879999999999995
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
87,58.0,0.58,50.459999999999994
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,58.0,0.58,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
91,61.0,0.61,55.51
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
0,61.0,0.61,0.0
