short S&P500_unscaled,short S&P500_monthly,scale,short S&P500
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
88,0.0,0.0,0.0
100,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
94,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
79,0.0,0.0,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
100,31.0,0.31,31.0
0,31.0,0.31,0.0
0,31.0,0.31,0.0
0,21.0,0.21,0.0
97,21.0,0.21,20.37
0,21.0,0.21,0.0
82,21.0,0.21,17.22
80,21.0,0.21,16.8
0,21.0,0.21,0.0
82,21.0,0.21,17.22
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
95,21.0,0.21,19.95
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
100,21.0,0.21,21.0
0,21.0,0.21,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
93,28.0,0.28,26.040000000000003
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
96,28.0,0.28,26.880000000000003
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
96,28.0,0.28,26.880000000000003
0,28.0,0.28,0.0
0,28.0,0.28,0.0
100,28.0,0.28,28.000000000000004
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
100,34.0,0.34,34.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
88,34.0,0.34,29.92
99,34.0,0.34,33.660000000000004
99,34.0,0.34,33.660000000000004
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
85,34.0,0.34,28.900000000000002
0,34.0,0.34,0.0
0,34.0,0.34,0.0
83,34.0,0.34,28.220000000000002
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
83,34.0,0.34,28.220000000000002
0,34.0,0.34,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
84,28.0,0.28,23.520000000000003
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
79,28.0,0.28,22.12
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
0,28.0,0.28,0.0
100,28.0,0.28,28.000000000000004
86,21.0,0.21,18.06
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
100,21.0,0.21,21.0
0,21.0,0.21,0.0
83,21.0,0.21,17.43
83,21.0,0.21,17.43
83,21.0,0.21,17.43
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,21.0,0.21,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
88,13.0,0.13,11.440000000000001
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
100,13.0,0.13,13.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,13.0,0.13,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
87,25.0,0.25,21.75
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
84,25.0,0.25,21.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
0,25.0,0.25,0.0
