us economy bad_unscaled,us economy bad_monthly,scale,us economy bad
66,76.0,0.76,50.160000000000004
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
100,76.0,0.76,76.0
49,76.0,0.76,37.24
49,76.0,0.76,37.24
50,76.0,0.76,38.0
52,76.0,0.76,39.52
58,76.0,0.76,44.08
57,76.0,0.76,43.32
0,76.0,0.76,0.0
49,76.0,0.76,37.24
98,76.0,0.76,74.48
50,76.0,0.76,38.0
51,76.0,0.76,38.76
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
49,76.0,0.76,37.24
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
0,76.0,0.76,0.0
48,76.0,0.76,36.480000000000004
72,76.0,0.76,54.72
0,76.0,0.76,0.0
49,76.0,0.76,37.24
53,58.0,0.58,30.74
0,58.0,0.58,0.0
0,58.0,0.58,0.0
50,58.0,0.58,28.999999999999996
0,58.0,0.58,0.0
49,58.0,0.58,28.419999999999998
0,58.0,0.58,0.0
51,58.0,0.58,29.58
0,58.0,0.58,0.0
0,58.0,0.58,0.0
50,58.0,0.58,28.999999999999996
50,58.0,0.58,28.999999999999996
0,58.0,0.58,0.0
0,58.0,0.58,0.0
52,58.0,0.58,30.159999999999997
58,58.0,0.58,33.64
0,58.0,0.58,0.0
100,58.0,0.58,57.99999999999999
51,58.0,0.58,29.58
0,58.0,0.58,0.0
48,58.0,0.58,27.839999999999996
52,58.0,0.58,30.159999999999997
0,58.0,0.58,0.0
57,58.0,0.58,33.059999999999995
47,58.0,0.58,27.259999999999998
0,58.0,0.58,0.0
50,58.0,0.58,28.999999999999996
50,58.0,0.58,28.999999999999996
0,74.0,0.74,0.0
56,74.0,0.74,41.44
0,74.0,0.74,0.0
49,74.0,0.74,36.26
49,74.0,0.74,36.26
48,74.0,0.74,35.519999999999996
48,74.0,0.74,35.519999999999996
0,74.0,0.74,0.0
56,74.0,0.74,41.44
0,74.0,0.74,0.0
48,74.0,0.74,35.519999999999996
47,74.0,0.74,34.78
46,74.0,0.74,34.04
48,74.0,0.74,35.519999999999996
0,74.0,0.74,0.0
57,74.0,0.74,42.18
0,74.0,0.74,0.0
0,74.0,0.74,0.0
46,74.0,0.74,34.04
48,74.0,0.74,35.519999999999996
48,74.0,0.74,35.519999999999996
0,74.0,0.74,0.0
56,74.0,0.74,41.44
57,74.0,0.74,42.18
47,74.0,0.74,34.78
47,74.0,0.74,34.78
100,74.0,0.74,74.0
0,74.0,0.74,0.0
0,74.0,0.74,0.0
0,74.0,0.74,0.0
0,74.0,0.74,0.0
86,59.0,0.59,50.739999999999995
0,59.0,0.59,0.0
82,59.0,0.59,48.379999999999995
85,59.0,0.59,50.15
0,59.0,0.59,0.0
0,59.0,0.59,0.0
97,59.0,0.59,57.23
81,59.0,0.59,47.79
81,59.0,0.59,47.79
81,59.0,0.59,47.79
86,59.0,0.59,50.739999999999995
86,59.0,0.59,50.739999999999995
100,59.0,0.59,59.0
0,59.0,0.59,0.0
81,59.0,0.59,47.79
82,59.0,0.59,48.379999999999995
82,59.0,0.59,48.379999999999995
86,59.0,0.59,50.739999999999995
0,59.0,0.59,0.0
100,59.0,0.59,59.0
0,59.0,0.59,0.0
81,59.0,0.59,47.79
81,59.0,0.59,47.79
0,59.0,0.59,0.0
85,59.0,0.59,50.15
0,59.0,0.59,0.0
99,59.0,0.59,58.41
98,59.0,0.59,57.82
0,59.0,0.59,0.0
84,59.0,0.59,49.559999999999995
72,60.0,0.6,43.199999999999996
66,60.0,0.6,39.6
68,60.0,0.6,40.8
79,60.0,0.6,47.4
78,60.0,0.6,46.8
65,60.0,0.6,39.0
0,60.0,0.6,0.0
100,60.0,0.6,60.0
68,60.0,0.6,40.8
68,60.0,0.6,40.8
78,60.0,0.6,46.8
78,60.0,0.6,46.8
64,60.0,0.6,38.4
66,60.0,0.6,39.6
65,60.0,0.6,39.0
64,60.0,0.6,38.4
69,60.0,0.6,41.4
0,60.0,0.6,0.0
78,60.0,0.6,46.8
66,60.0,0.6,39.6
62,60.0,0.6,37.199999999999996
0,60.0,0.6,0.0
0,60.0,0.6,0.0
66,60.0,0.6,39.6
0,60.0,0.6,0.0
0,60.0,0.6,0.0
67,60.0,0.6,40.199999999999996
0,60.0,0.6,0.0
0,60.0,0.6,0.0
65,60.0,0.6,39.0
0,60.0,0.6,0.0
62,44.0,0.44,27.28
62,44.0,0.44,27.28
0,44.0,0.44,0.0
0,44.0,0.44,0.0
51,44.0,0.44,22.44
0,44.0,0.44,0.0
54,44.0,0.44,23.76
0,44.0,0.44,0.0
61,44.0,0.44,26.84
100,44.0,0.44,44.0
51,44.0,0.44,22.44
52,44.0,0.44,22.88
52,44.0,0.44,22.88
54,44.0,0.44,23.76
0,44.0,0.44,0.0
0,44.0,0.44,0.0
51,44.0,0.44,22.44
0,44.0,0.44,0.0
51,44.0,0.44,22.44
52,44.0,0.44,22.88
0,44.0,0.44,0.0
0,44.0,0.44,0.0
0,44.0,0.44,0.0
52,44.0,0.44,22.88
0,44.0,0.44,0.0
51,44.0,0.44,22.44
0,44.0,0.44,0.0
0,44.0,0.44,0.0
0,44.0,0.44,0.0
64,44.0,0.44,28.16
0,53.0,0.53,0.0
0,53.0,0.53,0.0
0,53.0,0.53,0.0
53,53.0,0.53,28.09
0,53.0,0.53,0.0
